exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Is_are1	Verb1	Item2	Is_are2	Verb2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
expDeathMethod3	10	torture	1	0	0	680	0	k	W	300	0	strangle	impersonal	a gang member	is	kill	an Olympian	is	kill	X>Y	k	No	13963	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	1	0	680	0	k	W	300	0	strangle	personal	a mentor	is	kill	a pedophile	is	kill	X>Y	d	Yes	7997	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	2	0	680	0	k	W	300	0	unidentified	personal	a homeless adult	is	kill	a nun	is	kill	X>Y	k	No	12977	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	3	0	680	0	k	W	300	0	unidentified	impersonal	an astronaut	is	kill	a congressman	is	kill	X>Y	k	No	18281	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	4	0	680	0	k	W	300	0	strangle	impersonal	an elderly person	is	kill	a judge	is	kill	X>Y	d	Yes	17306	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	5	0	680	0	k	W	300	0	strangle	personal	a college student	is	kill	a police officer	is	kill	X>Y	d	Yes	14938	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	6	0	680	0	k	W	300	0	unidentified	personal	a celebrity	is	kill	a police officer	is	kill	X>Y	k	No	14896	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	7	0	680	0	k	W	300	0	unidentified	impersonal	an elderly person	is	kill	a convict	is	kill	X>Y	d	Yes	12457	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	0	1	680	0	k	W	150	0	unidentified	impersonal	a pedophile	is	kill	an elderly person	is	kill	X>Y	k	No	11208	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	1	1	680	0	k	W	150	0	unidentified	personal	an adult	is	kill	an elderly person	is	kill	X>Y	k	No	15946	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	2	1	680	0	k	W	150	0	strangle	personal	an astronaut	is	kill	a judge	is	kill	X>Y	d	Yes	15076	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	3	1	680	0	k	W	150	0	strangle	impersonal	a terrorist	is	kill	a billionaire	is	kill	X>Y	k	No	14113	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	4	1	680	0	k	W	150	0	strangle	impersonal	a thief	is	kill	a soldier	is	kill	X>Y	k	No	13365	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	5	1	680	0	k	W	150	0	unidentified	impersonal	an elderly person	is	kill	an adult	is	kill	X>Y	k	No	18022	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	6	1	680	0	k	W	150	0	unidentified	impersonal	a thief	is	kill	a congressman	is	kill	X>Y	k	No	11716	0	0	0	0	N/A	-1	visible
expDeathMethod3	10	torture	1	7	1	680	0	k	W	150	0	unidentified	personal	a mentor	is	kill	a judge	is	kill	X>Y	k	No	9757	0	0	0	0	N/A	-1	visible
