IA1	IB1	averageP	sdp	overlap	direction
a gang member	an olympian	0.136704545454545	0.0326865548742482	0.273409090909091	-1
a mentor	a pedophile	0.990616666666667	0.00836299359584272	0.0187666666666666	1
a homeless adult	a nun	0.500411290322581	0.0404107974591169	0.999177419354839	1
an astronaut	a congressman	0.649809090909091	0.0434002612156042	0.700381818181818	1
an elderly person	a judge	0.617021978021978	0.0227552858537648	0.765956043956044	1
a college student	a police officer	0.498227272727273	0.0437855178913508	0.996454545454545	-1
a celebrity	a police officer	0.356631355932203	0.0435380789620545	0.713262711864407	-1
an elderly person	a convict	0.851048387096774	0.0157882628129247	0.297903225806452	1
a pedophile	an elderly person	0.0111189956331878	0.00477236400907035	0.0222379912663755	-1
an adult	an elderly person	0.450647127784291	0.0167922347803992	0.901294255568581	-1
an astronaut	a judge	0.555720338983051	0.0432609761881728	0.888559322033898	1
a terrorist	a billionaire	0.0759537037037037	0.0228196409654396	0.151907407407407	-1
a thief	a soldier	0.0521913043478261	0.0204144348417008	0.104382608695652	-1
an elderly person	an adult	0.549208675263775	0.0160808457201703	0.90158264947245	1
a thief	a congressman	0.234389908256881	0.0391277545325713	0.468779816513762	-1
a mentor	a judge	0.594055555555556	0.0445165897084123	0.811888888888889	1
a police officer	an elderly person	0.488033477321814	0.0219796960709425	0.976066954643628	-1
a congressman	an adult	0.341660079051383	0.0214414408126184	0.683320158102767	-1
a congressman	an addict	0.595193396226415	0.0470109510219486	0.80961320754717	1
a congressman	a soldier	0.229901869158879	0.0386524641962814	0.459803738317757	-1
a soldier	a mentor	0.624280172413793	0.0432785076393154	0.751439655172414	1
a rapist	a thief	0.312561983471074	0.0383801035964035	0.625123966942149	-1
a rapist	a congressman	0.11120796460177	0.0272852597733534	0.22241592920354	-1
an adult	a congressman	0.657921936758893	0.0205052294265774	0.684156126482213	1
a judge	a rapist	0.961801652892562	0.017259628624014	0.0763966942148759	1
a terrorist	a thief	0.337986956521739	0.0387394037515904	0.675973913043478	-1
an adult	an addict	0.768947265625	0.0186786626182522	0.46210546875	1
a rapist	a convict	0.238961538461538	0.0327690704423872	0.477923076923077	-1
an elderly person	a nun	0.621098468271335	0.0223893796017583	0.75780306345733	1
an assassin	a pedophile	0.656805785123967	0.0361859095665092	0.686388429752066	1
an addict	a nun	0.280269565217391	0.0407208845675949	0.560539130434783	-1
a police officer	a convict	0.835387218045113	0.0308511220968865	0.329225563909775	1
a nun	a pedophile	0.982395833333333	0.0112389225173757	0.0352083333333333	1
a celebrity	a congressman	0.540049019607843	0.0462668717172158	0.919901960784314	1
an olympian	a terrorist	0.965366972477064	0.0163551327487564	0.0692660550458715	1
a billionaire	an assassin	0.867861607142857	0.0300581164507587	0.264276785714286	1
a gang member	a college student	0.0992699115044248	0.0273557261739299	0.19853982300885	-1
a nun	an elderly person	0.379283369803063	0.0230922929484903	0.758566739606127	-1
a rapist	a mentor	0.0195040983606557	0.0113374105531104	0.0390081967213115	-1
a mentor	a congressman	0.6823	0.0431787082614582	0.6354	1
a billionaire	a congressman	0.602866336633663	0.0460754634604939	0.794267326732673	1
a gang member	an orphan	0.0791086956521739	0.0252618550035034	0.158217391304348	-1
a thief	a college student	0.0822456140350877	0.0249749493302118	0.164491228070175	-1
an orphan	a billionaire	0.638277777777778	0.043518749245088	0.723444444444444	1
a judge	a college student	0.397530973451327	0.0433535828665788	0.795061946902655	-1
a college student	a rapist	0.981686440677966	0.0112262831617515	0.0366271186440679	1
a soldier	a convict	0.891282258064516	0.0270057188089954	0.217435483870968	1
a judge	a soldier	0.29375652173913	0.0416024622702352	0.587513043478261	-1
an elderly person	a billionaire	0.588131696428571	0.0234935011749927	0.823736607142857	1
an orphan	a thief	0.940717391304348	0.0203818698628664	0.118565217391304	1
an astronaut	a thief	0.90743220338983	0.0260943364766048	0.185135593220339	1
an elderly person	a college student	0.511813465783664	0.023850657425619	0.976373068432671	1
an elderly person	a rapist	0.978935869565217	0.00683391339338584	0.0421282608695652	1
an elderly person	an assassin	0.939402838427948	0.0109475834209697	0.121194323144105	1
a gang member	an elderly person	0.103112087912088	0.0144072456773767	0.206224175824176	-1
an elderly person	a soldier	0.39845704845815	0.0228040952378906	0.7969140969163	-1
a congressman	an olympian	0.388718446601942	0.0467142731989072	0.777436893203884	-1
a gang member	a mentor	0.105961538461538	0.0272814731508349	0.211923076923077	-1
a nun	a police officer	0.400696	0.0432345325961644	0.801392	-1
a celebrity	a billionaire	0.437849514563107	0.0486209359931654	0.875699029126214	-1
a thief	a billionaire	0.162160550458716	0.0337640782849087	0.324321100917431	-1
a thief	an assassin	0.554382352941176	0.042748102813547	0.891235294117647	1
an addict	a celebrity	0.360962962962963	0.0450736146665289	0.721925925925926	-1
a soldier	a congressman	0.769051401869159	0.0393103820482199	0.461897196261682	1
a homeless adult	a terrorist	0.960809917355372	0.0167455669191376	0.0783801652892562	1
a mentor	a police officer	0.491144	0.0424288046905339	0.982288	-1
a homeless adult	a gang member	0.855217213114754	0.0298903033021513	0.289565573770492	1
a celebrity	a thief	0.798536363636364	0.0373468840524362	0.402927272727273	1
an olympian	an adult	0.442389763779528	0.0215402351255682	0.884779527559055	-1
a thief	an olympian	0.117851351351351	0.0292378645289514	0.235702702702703	-1
a mentor	a terrorist	0.979961206896552	0.0125831961748912	0.0400775862068965	1
a convict	a mentor	0.155755905511811	0.0297470178517351	0.311511811023622	-1
a convict	an olympian	0.1906625	0.034657075772424	0.381325	-1
an addict	a college student	0.207472972972973	0.0385214552824473	0.414945945945946	-1
an astronaut	a college student	0.440908695652174	0.0460282219649539	0.881817391304348	-1
an elderly person	an olympian	0.607183333333333	0.022833781939202	0.785633333333333	1
a billionaire	a homeless adult	0.509030434782609	0.0454742835286859	0.981939130434783	1
an orphan	a college student	0.568370535714286	0.0457999654895915	0.863258928571428	1
an adult	a pedophile	0.985017441860465	0.00536012626964541	0.0299651162790697	1
a celebrity	a terrorist	0.898385321100917	0.0267816782556632	0.203229357798165	1
a soldier	an astronaut	0.673294871794872	0.042757152934708	0.653410256410256	1
a rapist	an adult	0.0272292870905588	0.00700930707365197	0.0544585741811175	-1
an assassin	a billionaire	0.133732142857143	0.0306196329855383	0.267464285714286	-1
a judge	an astronaut	0.4485	0.0446577523007099	0.897	-1
a celebrity	an adult	0.385893700787402	0.0206087837113341	0.771787401574803	-1
a thief	a celebrity	0.204368181818182	0.0383650144403818	0.408736363636364	-1
a convict	a billionaire	0.233690677966102	0.0383773479419189	0.467381355932203	-1
an adult	a soldier	0.354346003898635	0.0217541739950445	0.708692007797271	-1
a homeless adult	a celebrity	0.561866379310345	0.0453043414103078	0.87626724137931	1
