exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Is_are1	Verb1	Item2	Is_are2	Verb2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
expDeathMethod2	10	random	1	0	0	680	0	k	W	300	0	strangle	impersonal	a convict	is	kill	an adult	is	kill	X>Y	d	Yes	43136	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	1	0	680	0	k	W	300	0	strangle	personal	a terrorist	is	kill	a college student	is	kill	X>Y	k	No	27129	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	2	0	680	0	k	W	300	0	unidentified	impersonal	a gang member	is	kill	a college student	is	kill	X>Y	k	No	26017	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	3	0	680	0	k	W	300	0	strangle	personal	a judge	is	kill	a convict	is	kill	X>Y	d	Yes	19558	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	4	0	680	0	k	W	300	0	unidentified	impersonal	a convict	is	kill	a homeless adult	is	kill	X>Y	k	No	14876	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	5	0	680	0	k	W	300	0	unidentified	personal	a police officer	is	kill	a convict	is	kill	X>Y	k	No	13379	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	6	0	680	0	k	W	300	0	strangle	impersonal	a nun	is	kill	a soldier	is	kill	X>Y	k	No	14007	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	7	0	680	0	k	W	300	0	unidentified	personal	a mentor	is	kill	a police officer	is	kill	X>Y	k	No	11191	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	0	1	680	0	k	W	150	0	strangle	impersonal	a judge	is	kill	a thief	is	kill	X>Y	d	Yes	13230	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	1	1	680	0	k	W	150	0	strangle	impersonal	a billionaire	is	kill	a police officer	is	kill	X>Y	k	No	13293	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	2	1	680	0	k	W	150	0	unidentified	personal	an astronaut	is	kill	a rapist	is	kill	X>Y	k	No	26363	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	3	1	680	0	k	W	150	0	unidentified	personal	an elderly person	is	kill	a billionaire	is	kill	X>Y	k	No	23544	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	4	1	680	0	k	W	150	0	strangle	personal	a soldier	is	kill	a celebrity	is	kill	X>Y	d	Yes	13250	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	5	1	680	0	k	W	150	0	unidentified	personal	a nun	is	kill	a mentor	is	kill	X>Y	k	No	12802	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	6	1	680	0	k	W	150	0	unidentified	impersonal	an astronaut	is	kill	a college student	is	kill	X>Y	k	No	13527	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	7	1	680	0	k	W	150	0	strangle	personal	a terrorist	is	kill	a judge	is	kill	X>Y	k	No	16616	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	8	1	680	0	k	W	150	0	strangle	personal	an adult	is	kill	a pedophile	is	kill	X>Y	k	No	30943	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	9	1	680	0	k	W	150	0	unidentified	impersonal	a convict	is	kill	an Olympian	is	kill	X>Y	k	No	28627	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	10	1	680	0	k	W	150	0	unidentified	personal	an addict	is	kill	a judge	is	kill	X>Y	k	No	10411	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	11	1	680	0	k	W	150	0	unidentified	personal	an astronaut	is	kill	a soldier	is	kill	X>Y	k	No	11553	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	12	1	680	0	k	W	150	0	unidentified	impersonal	a mentor	is	kill	a billionaire	is	kill	X>Y	d	Yes	15308	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	13	1	680	0	k	W	150	0	strangle	impersonal	a homeless adult	is	kill	a convict	is	kill	X>Y	k	No	15565	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	14	1	680	0	k	W	150	0	unidentified	personal	a homeless adult	is	kill	a rapist	is	kill	X>Y	k	No	25115	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	15	1	680	0	k	W	150	0	strangle	personal	a judge	is	kill	a homeless adult	is	kill	X>Y	k	No	17201	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	16	1	680	0	k	W	150	0	unidentified	personal	an Olympian	is	kill	a mentor	is	kill	X>Y	k	No	12689	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	17	1	680	0	k	W	150	0	unidentified	personal	an addict	is	kill	a mentor	is	kill	X>Y	k	No	8406	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	18	1	680	0	k	W	150	0	unidentified	impersonal	an assassin	is	kill	a nun	is	kill	X>Y	k	No	21904	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	19	1	680	0	k	W	150	0	strangle	personal	an orphan	is	kill	a gang member	is	kill	X>Y	d	Yes	15483	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	20	1	680	0	k	W	150	0	strangle	personal	a college student	is	kill	a homeless adult	is	kill	X>Y	k	No	18339	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	21	1	680	0	k	W	150	0	strangle	impersonal	an astronaut	is	kill	a celebrity	is	kill	X>Y	k	No	4786	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	22	1	680	0	k	W	150	0	strangle	personal	an astronaut	is	kill	a terrorist	is	kill	X>Y	d	Yes	7953	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	23	1	680	0	k	W	150	0	unidentified	impersonal	a judge	is	kill	an Olympian	is	kill	X>Y	k	No	11292	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	24	1	680	0	k	W	150	0	strangle	impersonal	a judge	is	kill	a celebrity	is	kill	X>Y	k	No	20435	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	25	1	680	0	k	W	150	0	strangle	impersonal	a rapist	is	kill	a convict	is	kill	X>Y	k	No	12021	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	26	1	680	0	k	W	150	0	strangle	impersonal	an adult	is	kill	a rapist	is	kill	X>Y	d	Yes	9905	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	27	1	680	0	k	W	150	0	unidentified	personal	a terrorist	is	kill	a rapist	is	kill	X>Y	k	No	13378	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	28	1	680	0	k	W	150	0	unidentified	personal	a gang member	is	kill	an elderly person	is	kill	X>Y	k	No	8604	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	29	1	680	0	k	W	150	0	unidentified	impersonal	an adult	is	kill	a rapist	is	kill	X>Y	d	Yes	9974	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	30	1	680	0	k	W	150	0	strangle	impersonal	a gang member	is	kill	an elderly person	is	kill	X>Y	k	No	10646	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	31	1	680	0	k	W	150	0	unidentified	personal	a pedophile	is	kill	a soldier	is	kill	X>Y	k	No	7449	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	32	1	680	0	k	W	150	0	strangle	impersonal	an astronaut	is	kill	a gang member	is	kill	X>Y	d	Yes	7151	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	33	1	680	0	k	W	150	0	unidentified	personal	a judge	is	kill	a nun	is	kill	X>Y	k	No	5713	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	34	1	680	0	k	W	150	0	unidentified	impersonal	an adult	is	kill	a billionaire	is	kill	X>Y	k	No	13769	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	35	1	680	0	k	W	150	0	unidentified	impersonal	a pedophile	is	kill	a college student	is	kill	X>Y	k	No	11456	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	36	1	680	0	k	W	150	0	strangle	impersonal	an elderly person	is	kill	a college student	is	kill	X>Y	k	No	22299	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	37	1	680	0	k	W	150	0	unidentified	personal	a police officer	is	kill	a congressman	is	kill	X>Y	k	No	1077	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	38	1	680	0	k	W	150	0	unidentified	impersonal	a judge	is	kill	an elderly person	is	kill	X>Y	k	No	14015	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	39	1	680	0	k	W	150	0	unidentified	personal	a congressman	is	kill	a homeless adult	is	kill	X>Y	k	No	3202	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	40	1	680	0	k	W	150	0	strangle	personal	a thief	is	kill	a gang member	is	kill	X>Y	d	Yes	9365	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	41	1	680	0	k	W	150	0	strangle	personal	a college student	is	kill	a billionaire	is	kill	X>Y	d	Yes	7901	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	42	1	680	0	k	W	150	0	strangle	personal	an elderly person	is	kill	a rapist	is	kill	X>Y	d	Yes	11869	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	43	1	680	0	k	W	150	0	unidentified	personal	a thief	is	kill	a celebrity	is	kill	X>Y	k	No	12110	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	44	1	680	0	k	W	150	0	unidentified	impersonal	a billionaire	is	kill	a thief	is	kill	X>Y	d	Yes	12467	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	45	1	680	0	k	W	150	0	strangle	impersonal	an elderly person	is	kill	a nun	is	kill	X>Y	d	Yes	6578	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	46	1	680	0	k	W	150	0	strangle	personal	a terrorist	is	kill	an adult	is	kill	X>Y	k	No	13958	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	47	1	680	0	k	W	150	0	strangle	impersonal	a gang member	is	kill	a congressman	is	kill	X>Y	k	No	19626	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	48	1	680	0	k	W	150	0	unidentified	personal	a nun	is	kill	an elderly person	is	kill	X>Y	k	No	714	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	49	1	680	0	k	W	150	0	strangle	impersonal	a celebrity	is	kill	an Olympian	is	kill	X>Y	k	No	17342	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	50	1	680	0	k	W	150	0	strangle	personal	an assassin	is	kill	a celebrity	is	kill	X>Y	k	No	9648	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	51	1	680	0	k	W	150	0	unidentified	impersonal	a mentor	is	kill	a terrorist	is	kill	X>Y	d	Yes	8120	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	52	1	680	0	k	W	150	0	unidentified	personal	an addict	is	kill	a nun	is	kill	X>Y	k	No	2745	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	53	1	680	0	k	W	150	0	unidentified	personal	a police officer	is	kill	a pedophile	is	kill	X>Y	k	No	2051	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	54	1	680	0	k	W	150	0	strangle	impersonal	an orphan	is	kill	a billionaire	is	kill	X>Y	k	No	22766	0	0	0	0	N/A	-1	visible
expDeathMethod2	10	random	1	55	1	680	0	k	W	150	0	strangle	personal	a convict	is	kill	a gang member	is	kill	X>Y	d	Yes	7738	0	0	0	0	N/A	-1	visible
