IA1	IB1	averageP	sdp	overlap	direction
a police officer	a rapist	0.971755813953488	0.0133574841599217	0.0564883720930234	1
a rapist	a nun	0.0343032786885246	0.0147586901256789	0.0686065573770491	-1
an assassin	an elderly person	0.060075327510917	0.0111118941206632	0.120150655021834	-1
an adult	a celebrity	0.614994094488189	0.0212565354232555	0.770011811023622	1
a congressman	a rapist	0.890075221238938	0.0286321902509896	0.219849557522124	1
a convict	an orphan	0.119153225806452	0.0276915634981865	0.238306451612903	-1
a police officer	a homeless adult	0.61175	0.0394952289872806	0.7765	1
a billionaire	a gang member	0.815119266055046	0.0357899475360823	0.369761467889908	1
a terrorist	a soldier	0.0114736842105263	0.00911274417691613	0.0229473684210526	-1
a congressman	a mentor	0.318577272727273	0.0437394679240318	0.637154545454545	-1
an addict	a soldier	0.143455752212389	0.0317269819193233	0.286911504424779	-1
a college student	a mentor	0.507369565217391	0.0450261890233075	0.985260869565217	1
a congressman	a judge	0.396606481481481	0.0454190869775859	0.793212962962963	-1
a pedophile	a convict	0.21284765625	0.0315709109017175	0.4256953125	-1
a convict	a pedophile	0.7879765625	0.0328174515649382	0.424046875	1
a gang member	a terrorist	0.689882608695652	0.0387379969712809	0.620234782608696	1
a thief	a homeless adult	0.127032520325203	0.0283436008376258	0.254065040650407	-1
a gang member	a nun	0.144247863247863	0.0320785723788157	0.288495726495727	-1
a gang member	a celebrity	0.223322727272727	0.0368517155281422	0.446645454545455	-1
a gang member	an astronaut	0.108415254237288	0.0276527102774115	0.216830508474576	-1
a billionaire	a pedophile	0.945653153153153	0.0195557877199045	0.108693693693694	1
a billionaire	a terrorist	0.922902777777778	0.0241744066898109	0.154194444444445	1
a homeless adult	a pedophile	0.978212	0.0122497801250925	0.0435760000000001	1
an adult	a gang member	0.877899805447471	0.0150085545501221	0.244200389105058	1
a convict	an elderly person	0.148948387096774	0.0170059005642515	0.297896774193548	-1
an orphan	an adult	0.612537037037037	0.0212670642074103	0.774925925925926	1
a billionaire	an olympian	0.50271359223301	0.046847465244417	0.994572815533981	1
a pedophile	an assassin	0.342706611570248	0.0380370737035911	0.685413223140496	-1
a college student	a rapist	0.981792372881356	0.0114517328064306	0.0364152542372882	1
a homeless adult	an adult	0.419998076923077	0.0217076303985325	0.839996153846154	-1
a billionaire	a homeless adult	0.511178260869565	0.0440023595312488	0.97764347826087	1
a mentor	a convict	0.845456692913386	0.0315928331005833	0.309086614173228	1
an assassin	a billionaire	0.131491071428571	0.0294661286793242	0.262982142857143	-1
a nun	an olympian	0.485638392857143	0.0460995691033565	0.971276785714286	-1
a mentor	a soldier	0.379340517241379	0.0431342764958809	0.758681034482759	-1
a pedophile	an orphan	0.0054059829059829	0.00627919281139982	0.0108119658119659	-1
an addict	a police officer	0.222282786885246	0.0377631705955071	0.444565573770492	-1
a gang member	a homeless adult	0.143426229508197	0.0310046374583968	0.286852459016393	-1
an elderly person	an adult	0.54922919109027	0.0171253361319241	0.901541617819461	1
a judge	a pedophile	0.978474576271186	0.0129490159244244	0.0430508474576272	1
a nun	a congressman	0.606813636363636	0.0451935355790789	0.786372727272727	1
a celebrity	a gang member	0.774863636363636	0.0397865471355498	0.450272727272727	1
