overlapRound	Item1	Item2	sn	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
0.05	a pedophile	an astronaut	15	injection	1	163	1	unidentified	personal	d	No	7.05444965813294	N/A	-1	0.00911666666666667	0.00849920014293912	0.0182333333333333	-1	1	FALSE	-0.981766666666667	1	-0.184544973597437	7.23899463173038	0.05
0.05	a homeless adult	a terrorist	15	injection	1	44	1	unidentified	impersonal	k	Yes	8.09955428237636	N/A	-1	0.960454545454545	0.0172163154387944	0.0790909090909091	1	1	TRUE	0.920909090909091	1	0.172579969775262	7.9269743126011	0.05
0.05	a college student	a pedophile	15	injection	1	125	1	injection	impersonal	k	Yes	7.10906213568717	N/A	-1	0.991413793103448	0.00764412778063168	0.0171724137931035	1	1	TRUE	0.982827586206896	1	-0.217910574106918	7.32697270979409	0.05
0.05	a rapist	a judge	15	injection	1	138	1	injection	personal	d	No	7.11801620446533	N/A	-1	0.0375743801652893	0.0166342489180119	0.0751487603305785	-1	1	FALSE	-0.924851239669422	1	-0.171761925043224	7.28977812950856	0.05
0.05	a pedophile	an adult	15	injection	1	61	1	unidentified	personal	d	No	6.87316383421252	N/A	-1	0.014656007751938	0.00527429183251669	0.029312015503876	-1	1	FALSE	-0.970687984496124	1	-0.845954212815037	7.71911804702756	0.05
0.05	an adult	a pedophile	15	injection	1	148	1	unidentified	personal	k	Yes	7.28000825288419	N/A	-1	0.985300387596899	0.0053463036724592	0.0293992248062016	1	1	TRUE	0.970600775193798	1	0.0133720722777948	7.26663618060639	0.05
0.05	a pedophile	an adult	15	injection	1	46	1	unidentified	personal	d	No	7.65302041380419	N/A	-1	0.014656007751938	0.00527429183251669	0.029312015503876	-1	1	FALSE	-0.970687984496124	1	-0.246001376223203	7.89902179002739	0.05
0.05	a police officer	a rapist	15	injection	1	107	1	injection	impersonal	k	Yes	8.03883475778775	N/A	-1	0.971612403100775	0.0143467015635418	0.0567751937984495	1	1	TRUE	0.94322480620155	1	0.643254784614423	7.39557997317333	0.05
0.05	a homeless adult	a pedophile	15	injection	1	59	1	unidentified	impersonal	k	Yes	7.59034694560257	N/A	-1	0.9786	0.0116893387597691	0.0428	1	1	TRUE	0.9572	1	-0.1499933753103	7.74034032091286	0.05
0.05	a terrorist	a judge	15	injection	1	162	1	unidentified	personal	d	No	8.06274790108635	N/A	-1	0.0402434782608696	0.0171846890166503	0.0804869565217391	-1	1	FALSE	-0.919513043478261	1	0.822137876522418	7.24061002456394	0.05
0.05	a soldier	a pedophile	15	injection	1	38	1	unidentified	personal	k	Yes	7.8046592970561	N/A	-1	0.994380341880342	0.00640743958484504	0.0112393162393163	1	1	TRUE	0.988760683760684	1	-0.212604797720929	8.01726409477703	0.05
0.05	a rapist	a mentor	15	injection	1	141	1	unidentified	impersonal	d	No	7.2283884515736	N/A	-1	0.0197049180327869	0.0118523424559346	0.0394098360655738	-1	1	FALSE	-0.960590163934426	1	-0.0539956770542132	7.28238412862782	0.05
0.05	a rapist	an astronaut	15	injection	1	129	1	unidentified	personal	d	No	6.95749737087695	N/A	-1	0.0203780487804878	0.0116653678110918	0.0407560975609756	-1	1	FALSE	-0.959243902439024	1	-0.357071621665931	7.31456899254288	0.05
0.05	a rapist	an olympian	15	injection	1	17	1	unidentified	personal	d	No	8.21824792668574	N/A	-1	0.0315130434782609	0.0153219482015266	0.0630260869565218	-1	1	FALSE	-0.936973913043478	1	-0.206247298663197	8.42449522534894	0.05
0.05	a terrorist	a nun	15	injection	1	85	1	injection	impersonal	d	No	7.34083555412327	N/A	-1	0.0365603448275862	0.0160409270081939	0.0731206896551724	-1	1	FALSE	-0.926879310344828	1	-0.176083273541635	7.51691882766491	0.05
0.05	a terrorist	a nun	15	injection	1	55	1	injection	personal	d	No	7.23705902612474	N/A	-1	0.0365603448275862	0.0160409270081939	0.0731206896551724	-1	1	FALSE	-0.926879310344828	1	-0.548137337114778	7.78519636323951	0.05
