IA1	IB1	averageP	sdp	overlap	direction
an assassin	a thief	0.445134453781513	0.0419432731095141	0.890268907563025	-1
a billionaire	an olympian	0.499873786407767	0.0470837250607887	0.999747572815534	-1
a judge	a gang member	0.850469827586207	0.0320530926309732	0.299060344827586	1
a convict	a gang member	0.564452	0.0426043522052246	0.871096	1
a nun	a gang member	0.856273504273504	0.0310302612754701	0.287452991452992	1
a pedophile	a terrorist	0.438111111111111	0.0375297380804884	0.876222222222222	-1
an elderly person	a thief	0.920753289473684	0.0124503380396662	0.158493421052632	1
a convict	a college student	0.147256097560976	0.03006951320686	0.294512195121951	-1
a gang member	a convict	0.437596	0.0417022764829915	0.875192	-1
a congressman	a billionaire	0.399108910891089	0.0466273335323587	0.798217821782178	-1
an astronaut	an adult	0.484770348837209	0.0221130675149074	0.969540697674419	-1
an olympian	a police officer	0.405741525423729	0.0431914318159987	0.811483050847458	-1
an olympian	an astronaut	0.451428571428571	0.04552774869133	0.902857142857143	-1
a homeless adult	a celebrity	0.557987068965517	0.0460246754382633	0.884025862068966	1
a police officer	a college student	0.502933884297521	0.0454554667271223	0.994132231404959	1
a rapist	a homeless adult	0.0353700787401575	0.015425383296984	0.0707401574803149	-1
an assassin	a gang member	0.415941176470588	0.0417945611526315	0.831882352941177	-1
a billionaire	a terrorist	0.925166666666667	0.0233484567292738	0.149666666666667	1
a convict	a thief	0.591527777777778	0.0427118763856065	0.816944444444444	1
a gang member	an addict	0.332521929824561	0.0399001173230231	0.665043859649123	-1
a police officer	a convict	0.83593984962406	0.0298671180146829	0.32812030075188	1
an olympian	a homeless adult	0.51125641025641	0.0445077853442698	0.97748717948718	1
an elderly person	an olympian	0.607026666666667	0.0236918927030731	0.785946666666667	1
an adult	a college student	0.46326614481409	0.0217091622435218	0.92653228962818	-1
a celebrity	an olympian	0.428120192307692	0.0485416342311043	0.856240384615385	-1
an adult	a billionaire	0.54751282051282	0.0220907314577186	0.904974358974359	1
a terrorist	a rapist	0.5325	0.0392274870490659	0.935	1
a soldier	an addict	0.857504424778761	0.0313255913239176	0.284991150442478	1
an orphan	a terrorist	0.987109649122807	0.00977612516563785	0.0257807017543861	1
a soldier	an elderly person	0.600686123348018	0.0220919854760539	0.798627753303965	1
an adult	a mentor	0.47537572815534	0.0215624595113937	0.95075145631068	-1
